line_number,name,left_context,right_context,full_context
2838,Queene,the ,s Maiestie,the Queenes Maiestie
2842,Queene,p>The ,s Maiestie,p>The Queenes Maiestie
2844,England,realme of ,"e, coyned","realme of Englande, coyned"
2869,England,"weapons, as ",e hath,"weapons, as Englande hath"
2913,Queene,the ,s Maiesty,the Queenes Maiesty
2921,England,Clergie of ,e vnder,Clergie of Englande vnder
2927,Queene,of the ,s highnesse,of the Queenes highnesse
2974,Queene,the ,s Maiestie,the Queenes Maiestie
2982,England,yeare in ,e were,yeare in Englande were
3002,Queene,The ,s Maiestie,The Queenes Maiestie
3009,England,,"e, and","Englande, and"
3029,Queene,Whylest the ,s Maiestie,Whylest the Queenes Maiestie
3058,Queene,from the ,s Ambassadors,from the Queenes Ambassadors
3068,England,,e.</note,Englande.</note
3069,Queene,as the ,s Maiestie,as the Queenes Maiestie
3070,England,,.</p>,England.</p>
3071,Queene,King and , mother,King and Queene mother
3076,Queene,moued the ,s Maiestie,moued the Queenes Maiestie
3084,England,Realme of ,"e, as","Realme of Englande, as"
3097,Queene,in the ,s Shippe,in the Queenes Shippe
3262,Essex,out of ,", arriue","out of Essex, arriue"
3264,Essex,," me, vnder","Essex me, vnder"
3275,Queene,in the ,s Maiesties,in the Queenes Maiesties
3282,Queene,the ,s Shyppe,the Queenes Shyppe
3295,England,into ,", but","into England, but"
3357,Queene,of the ,s Shippes,of the Queenes Shippes
3448,Queene,,s Maiestie,Queenes Maiestie
3556,Queene,of the ,s shippes,of the Queenes shippes
3636,England,into ,",","into England,"
3649,Queene,to the ,s Maiesties,to the Queenes Maiesties
3679,Queene,of the ,s Maiesties,of the Queenes Maiesties
3864,England,into ,"e, was","into Englande, was"
3879,England,coast of ,"e, and","coast of Englande, and"
3899,Queene,of the ,s Maiesties,of the Queenes Maiesties
3949,Queene,serue the ,s Maiestie,serue the Queenes Maiestie
3985,England,into ,", he shortly","into England, he shortly"
4022,England,Maiestie of ,e had,Maiestie of Englande had
4022,Queene,/hi> ,s Maiestie,/hi> Queenes Maiestie
4200,England,Queene of ,e and,Queene of Englande and
4200,Queene,to the , of Englande,to the Queene of Englande
4222,Queene,,s maiestie,Queenes maiestie
4226,Queene,King and , mother,King and Queene mother
4257,England,,"e, there","Englande, there"
4271,England,into ,"e, the","into Englande, the"
4286,Essex,tyme in , a man,tyme in Essex a man
4292,England,places of , notwithstanding,places of England notwithstanding
4293,Queene,but the ,s Maiestie,but the Queenes Maiestie
4330,Queene,betwixt the ,s Maiestie,betwixt the Queenes Maiestie
4334,Queene,the ,s grace,the Queenes grace
4349,Queene,the ,s Maiestie,the Queenes Maiestie
4351,Queene,>The , a progresse,>The Queene a progresse
4358,England,Kings of ,e his,Kings of Englande his
4394,England,people in ,: especially,people in England: especially
4397,Queene,of the ,s Maiestie,of the Queenes Maiestie
4398,Queene,Marie , of Scotlande,Marie Queene of Scotlande
4399,Queene,for the ,s Maiestie,for the Queenes Maiestie
4403,England,adueturers of ,: they,adueturers of England: they
4405,England,into ,.</p>,into England.</p>
4422,Essex,, fiue,Essex fiue
4437,Queene,,s Maiesties,Queenes Maiesties
4437,Queene,the ,s Maiestie,the Queenes Maiestie
4440,Queene,Christning the , gaue,Christning the Queene gaue
4452,England,Gunner of ,", desirous","Gunner of England, desirous"
4470,England,into ,", by the","into England, by the"
4479,Queene,by the ,s especiall,by the Queenes especiall
4480,Queene,of the ,s,of the Queenes
4492,Queene,,s highnesse,Queenes highnesse
4503,Queene,the ,s maiestie,the Queenes maiestie
4504,Queene,>The ,s,>The Queenes
4507,Queene,towardes the ,s maiestie,towardes the Queenes maiestie
4512,Queene,,s highnesse,Queenes highnesse
4513,Queene,of the ,s Chapel,of the Queenes Chapel
