paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
211,George,35,41,Sir,Howard,Sir George Howard
211,Henry,76,81,,Percy,Henry Percy
211,Howard,42,48,George,", and","George Howard , and"
211,Iames,18,23,Sir,Croft,Sir Iames Croft
211,Queene,153,159,the,Dowager,the Queene Dowager
211,Sir,14,17,"day,",Iames,"day, Sir Iames"
211,Sir,31,34,"Croft,",George,"Croft, Sir George"
211,Sir,54,57,and,,and Sir
212,Nicholas,106,114,of S.,Steeple,of S. Nicholas Steeple
212,Nicholas,129,137,Saint,Steeple,Saint Nicholas Steeple
219,maister,97,104,surrendred to,Winter,surrendred to maister Winter
220,Iames,128,133,Maister,Hamelton,Maister Iames Hamelton
220,Maister,120,127,deliuered to,Iames,deliuered to Maister Iames
223,Maurice,642,649,"artillerie,",Barkley,"artillerie, Maurice Barkley"
223,Maurice,687,694,master,Barklry,master Maurice Barklry
224,Brian,0,5,,Fitz,Brian Fitz
225,Iames,43,48,sir,Croft,sir Iames Croft
225,sir,39,42,"Camp,",Iames,"Camp, sir Iames"
227,Arthur,124,130,maister,Grey,maister Arthur Grey
227,maister,116,123,and,Arthur,and maister Arthur
228,Arthur,25,31,Maister,Grey,Maister Arthur Grey
228,Arthur,72,78,maister,Grey,maister Arthur Grey
228,Maister,17,24,"charge,",Arthur,"charge, Maister Arthur"
228,maister,64,71,hurt.,Arthur,hurt. maister Arthur
232,Andrewe,206,213,Sir,Corbet,Sir Andrewe Corbet
232,Arthur,285,291,Sir,Manwering,Sir Arthur Manwering
232,Dauid,435,440,and,Morris,and Dauid Morris
232,Edwarde,376,383,maister,Littleton,maister Edwarde Littleton
232,Frauncis,349,357,maister,Tunstall,maister Frauncis Tunstall
232,Laurence,307,315,Sir,Smith,Sir Laurence Smith
232,maister,341,348,,Frauncis,maister Frauncis
232,maister,368,375,"Tunstall,",Edwarde,"Tunstall, maister Edwarde"
232,Philippe,413,421,"Caruell,",Sturley,"Caruell, Philippe Sturley"
232,Rowland,226,233,Sir,Stanley,Sir Rowland Stanley
232,Sir,202,205,"Captaynes,",Andrewe,"Captaynes, Sir Andrewe"
232,Sir,222,225,"Corbet,",Rowland,"Corbet, Sir Rowland"
232,Sir,243,246,"Stanley,",,"Stanley, Sir"
232,Sir,281,284,"Hesketh,",Arthur,"Hesketh, Sir Arthur"
232,Sir,303,306,"Manwering,",Laurence,"Manwering, Sir Laurence"
232,Thomas,265,271,,Hesketh,Thomas Hesketh
233,Franncis,85,93,Sir,Looke,Sir Franncis Looke
233,Iohn,105,109,Sir,Forster,Sir Iohn Forster
233,Nicholas,127,135,and sir,Strange,and sir Nicholas Strange
233,Rause,49,54,Sir,,Sir Rause
233,Sir,45,48,"horsmen,",Rause,"horsmen, Sir Rause"
233,Sir,81,84,"Sadler,",Franncis,"Sadler, Sir Franncis"
233,Sir,101,104,"Looke,",Iohn,"Looke, Sir Iohn"
233,sir,123,126,and,Nicholas,and sir Nicholas
234,maister,121,128,"nighte,",Winter,"nighte, maister Winter"
238,Gerneys,376,383,Sir,Clifton,Sir Gerneys Clifton
238,Sir,372,375,Towne.,Gerneys,Towne. Sir Gerneys
240,Bishop,102,108,the,of Valence,the Bishop of Valence
240,Byshop,23,29,The,of Valence,The Byshop of Valence
240,Henry,173,178,with Sir,Percy,with Sir Henry Percy
240,Iames,283,288,Sir,Croft,Sir Iames Croft
240,Monluc,126,132,named,", accompanyed","named Monluc , accompanyed"
240,Raufe,322,327,and Sir,Sadler,and Sir Raufe Sadler
240,Sir,169,172,with,Henry,with Sir Henry
240,Sir,279,282,"Lieutenant,",Iames,"Lieutenant, Sir Iames"
240,Sir,318,321,and,Raufe,and Sir Raufe
241,Queene,242,248,with the,Dowager,with the Queene Dowager
243,Nicholas,603,611,of S.,Churche,of S. Nicholas Churche
